,Accuracy,Precision,Recall,F1,ROC-AUC,Tuned,Selected
Dummy (majority class),0.93563225995477,0.0,0.0,0.0,0.5,No,No
Random Forest,0.9207841010494713,0.2514702983549195,0.1167095115681234,0.15937165008370507,0.7201963982199733,Yes,Yes
Decision Tree,0.8932940529065556,0.17781381455671014,0.1818337617823479,0.17974920708074085,0.5620536646225108,No,No
Logistic Regression,0.6756902524353693,0.10928288357366263,0.5648671808054841,0.1831297977178339,0.6739404355172378,No,No
KNN,0.7281442196299939,0.09357299468707372,0.37103684661525277,0.14944960893845063,0.5853205137004192,No,No
Linear SVC,0.6790327506472703,0.10990388858544872,0.561610968294773,0.183829077284052,0.673125339733226,No,No
Neural Network,0.78180063929538,0.131800095356013,0.4243359040274207,0.20073148551828748,0.6734783123500183,No,No
